#r     goo      goh      ghh
7.86  0.9759   1.0052   1.0074
7.89  0.9758   1.0039   1.0072
7.92  0.9758   1.0027   1.0071
7.95  0.9761   1.0017   1.0067
7.98  0.9768   1.0004   1.0063
8.01  0.9773   0.9993   1.0061
8.04  0.9779   0.9983   1.0058
8.07  0.9790   0.9970   1.0055
8.10  0.9800   0.9962   1.0051
8.13  0.9810   0.9952   1.0048
8.16  0.9823   0.9941   1.0044
8.19  0.9834   0.9935   1.0040
8.22  0.9848   0.9925   1.0037
8.25  0.9863   0.9917   1.0033
8.28  0.9876   0.9914   1.0030
8.31  0.9891   0.9907   1.0024
8.34  0.9908   0.9902   1.0019
8.37  0.9919   0.9898   1.0013
8.40  0.9936   0.9895   1.0010
8.43  0.9947   0.9893   1.0003
8.46  0.9962   0.9891   0.9998
8.49  0.9974   0.9890   0.9992
8.52  0.9985   0.9888   0.9986
8.55  0.9997   0.9892   0.9981
8.58  1.0008   0.9893   0.9975
8.61  1.0016   0.9897   0.9971
8.64  1.0021   0.9899   0.9964
8.67  1.0029   0.9902   0.9960
8.70  1.0037   0.9907   0.9955
8.73  1.0042   0.9912   0.9951
8.76  1.0046   0.9916   0.9945
8.79  1.0047   0.9921   0.9941
8.82  1.0050   0.9929   0.9938
8.85  1.0053   0.9934   0.9934
8.88  1.0050   0.9940   0.9931
8.91  1.0050   0.9947   0.9930
8.94  1.0049   0.9954   0.9928
8.97  1.0048   0.9961   0.9927
9.00  1.0047   0.9966   0.9926
9.03  1.0044   0.9970   0.9927
9.06  1.0039   0.9975   0.9928
9.09  1.0036   0.9981   0.9928
9.12  1.0030   0.9986   0.9930
9.15  1.0026   0.9991   0.9931
9.18  1.0025   0.9995   0.9933
9.21  1.0023   0.9999   0.9936
9.24  1.0016   1.0002   0.9939
9.27  1.0012   1.0005   0.9941
9.30  1.0010   1.0007   0.9945
9.33  1.0003   1.0010   0.9950
9.36  1.0005   1.0012   0.9952
9.39  1.0001   1.0014   0.9957
9.42  0.9996   1.0016   0.9962
9.45  0.9994   1.0017   0.9966
9.48  0.9991   1.0017   0.9970
9.51  0.9991   1.0019   0.9976
9.54  0.9988   1.0020   0.9978
9.57  0.9983   1.0019   0.9984
9.60  0.9984   1.0019   0.9989
9.63  0.9980   1.0019   0.9993
9.66  0.9977   1.0017   0.9997
9.69  0.9978   1.0017   1.0003
9.72  0.9975   1.0018   1.0004
9.75  0.9979   1.0017   1.0009
9.78  0.9977   1.0016   1.0013
9.81  0.9982   1.0014   1.0015
9.84  0.9979   1.0014   1.0019
9.87  0.9979   1.0014   1.0020
9.90  0.9980   1.0012   1.0023
9.93  0.9982   1.0012   1.0026
9.96  0.9985   1.0011   1.0027
9.99  0.9988   1.0011   1.0029
10.02 0.9990   1.0009   1.0030
10.05 0.9992   1.0011   1.0031
10.08 0.9998   1.0009   1.0032
10.11 1.0000   1.0010   1.0033
10.14 1.0003   1.0009   1.0033
10.17 1.0007   1.0009   1.0033
10.20 1.0010   1.0009   1.0032
